scheduler,dag_type,cluster,n_tasks,n_edges,ccr,edge_density,seed,makespan,speedup,efficiency,imbalance,slr,runtime_ms,seq_time,cp_length
HEFT-LC,random,highly_hetero,10,12,0.1,0.2,5,20.502038914841872,5.140193406645647,1.2850483516614117,0.6346428338745617,0.43220873596958076,0.2969170000142185,105.38444525286266,47.43550328488692
Random,random,highly_hetero,10,12,0.1,0.2,5,105.15672475105299,1.0021655343711853,0.2505413835927963,1.044558951998999,2.216835860673923,0.06759799998690141,105.38444525286266,47.43550328488692
HEFT,random,homogeneous,10,11,0.1,0.2,6,25.758995761460536,4.0565855920596405,1.0141463980149101,0.18573101608690076,0.7307215339049213,0.2260949999595141,104.49357107186616,35.25145293557504
CPOP,random,homogeneous,10,11,0.1,0.2,6,34.217619237603785,3.053794314159412,0.763448578539853,0.400065930524292,0.9706725932726611,0.45737100003861997,104.49357107186616,35.25145293557504
HEFT-LC,random,homogeneous,10,11,0.1,0.2,6,25.758995761460536,4.0565855920596405,1.0141463980149101,0.18573101608690076,0.7307215339049213,0.25762199999235236,104.49357107186616,35.25145293557504
Random,random,homogeneous,10,11,0.1,0.2,6,40.71641170973032,2.566374753669526,0.6415936884173815,0.5589588821495706,1.1550279015206253,0.05316400000765498,104.49357107186616,35.25145293557504
HEFT,random,cpu_gpu,10,11,0.1,0.2,6,14.605599367571411,7.154350084658055,1.7885875211645137,1.003610816647662,0.41432616676153344,0.22874500001535125,104.49357107186616,35.25145293557504
CPOP,random,cpu_gpu,10,11,0.1,0.2,6,14.64799648484151,7.133642555144071,1.7834106387860178,0.6890332737232581,0.4155288722882413,0.3809749999845735,104.49357107186616,35.25145293557504
HEFT-LC,random,cpu_gpu,10,11,0.1,0.2,6,14.780751776039693,7.069570794176737,1.7673926985441843,1.0023611443966407,0.419294824614825,0.2857420000168531,104.49357107186616,35.25145293557504
Random,random,cpu_gpu,10,11,0.1,0.2,6,39.110348792901945,2.6717626995653507,0.6679406748913377,0.648946137743841,1.1094677108594462,0.05213399998638124,104.49357107186616,35.25145293557504
HEFT,random,edge_cloud,10,11,0.1,0.2,6,28.048279053021595,3.725489570120675,0.9313723925301688,1.0023611443966407,0.7956630639957496,0.23940700003777238,104.49357107186616,35.25145293557504
CPOP,random,edge_cloud,10,11,0.1,0.2,6,28.64251313818537,3.6481984163798233,0.9120496040949558,1.0056861283513938,0.8125200737266616,0.48219600000720675,104.49357107186616,35.25145293557504
HEFT-LC,random,edge_cloud,10,11,0.1,0.2,6,27.701085317322914,3.7721832872201926,0.9430458218050481,1.0044054298668579,0.7858140022752808,0.23135300000376446,104.49357107186616,35.25145293557504
Random,random,edge_cloud,10,11,0.1,0.2,6,86.78289679179193,1.204080238558588,0.301020059639647,0.6954895921740838,2.4618246785570763,0.04958399995302898,104.49357107186616,35.25145293557504
HEFT,random,highly_hetero,10,11,0.1,0.2,6,16.87366681272443,6.192700865295477,1.5481752163238693,0.5982461290397313,0.4786658536759452,0.2289770000061253,104.49357107186616,35.25145293557504
CPOP,random,highly_hetero,10,11,0.1,0.2,6,18.482462817654135,5.653660559352278,1.4134151398380694,0.6271473259947093,0.5243035755556621,0.431010999989212,104.49357107186616,35.25145293557504
HEFT-LC,random,highly_hetero,10,11,0.1,0.2,6,16.87366681272443,6.192700865295477,1.5481752163238693,0.5982461290397313,0.4786658536759452,0.24635700003727834,104.49357107186616,35.25145293557504
Random,random,highly_hetero,10,11,0.1,0.2,6,98.47238587006147,1.0611459258207665,0.2652864814551916,1.1115581441429188,2.7934277219729906,0.07248299999673691,104.49357107186616,35.25145293557504
HEFT,random,homogeneous,10,10,0.1,0.2,7,25.16393165776062,3.542680610987435,0.8856701527468588,0.14225136128823626,0.701809033052142,0.4111760000000686,89.14777278016146,35.85581044507734
CPOP,random,homogeneous,10,10,0.1,0.2,7,37.778157869405305,2.3597702431213015,0.5899425607803254,0.3675049428134626,1.0536132749606246,0.6972090000090247,89.14777278016146,35.85581044507734
HEFT-LC,random,homogeneous,10,10,0.1,0.2,7,24.49249043768997,3.6398002484458463,0.9099500621114616,0.2920892049302586,0.6830828848564642,0.2476899999805937,89.14777278016146,35.85581044507734
Random,random,homogeneous,10,10,0.1,0.2,7,48.587691455207974,1.8347809930905035,0.45869524827262587,0.608914570262812,1.3550855733586855,0.0504009999531263,89.14777278016146,35.85581044507734
HEFT,random,cpu_gpu,10,10,0.1,0.2,7,10.9493265885868,8.141849826005375,2.0354624565013437,1.0033712627696945,0.30537105291089683,0.23834099999930913,89.14777278016146,35.85581044507734
CPOP,random,cpu_gpu,10,10,0.1,0.2,7,12.695170231205362,7.0221801800681485,1.7555450450170371,0.6298295889975409,0.3540617287301698,0.5347840000240467,89.14777278016146,35.85581044507734
HEFT-LC,random,cpu_gpu,10,10,0.1,0.2,7,10.149833465691625,8.783175909387868,2.195793977346967,0.6008409438435953,0.28307360340491483,0.25244900001553106,89.14777278016146,35.85581044507734
Random,random,cpu_gpu,10,10,0.1,0.2,7,29.055054794013135,3.068236264298169,0.7670590660745422,0.5837129775200177,0.8103304438904997,0.0507450000100107,89.14777278016146,35.85581044507734
HEFT,random,edge_cloud,10,10,0.1,0.2,7,28.51716850996559,3.1261088473425382,0.7815272118356346,0.5799452606571863,0.7953290737535323,0.27482599995209966,89.14777278016146,35.85581044507734
CPOP,random,edge_cloud,10,10,0.1,0.2,7,28.51716850996559,3.1261088473425382,0.7815272118356346,0.602127867436358,0.7953290737535323,0.498544999970818,89.14777278016146,35.85581044507734
HEFT-LC,random,edge_cloud,10,10,0.1,0.2,7,28.51716850996559,3.1261088473425382,0.7815272118356346,0.5799452606571863,0.7953290737535323,0.30948200003422244,89.14777278016146,35.85581044507734
Random,random,edge_cloud,10,10,0.1,0.2,7,124.4583249992988,0.7162861365896072,0.1790715341474018,0.9337309762896971,3.47107828422787,0.06041099999265498,89.14777278016146,35.85581044507734
HEFT,random,highly_hetero,10,10,0.1,0.2,7,14.729585829247267,6.0522932425668365,1.5130733106417091,0.6345847793445055,0.410800527066862,0.22652199999129152,89.14777278016146,35.85581044507734
CPOP,random,highly_hetero,10,10,0.1,0.2,7,15.734903317686145,5.665606644049647,1.4164016610124117,0.6232777222472111,0.43883831162562376,0.35952300004282733,89.14777278016146,35.85581044507734
HEFT-LC,random,highly_hetero,10,10,0.1,0.2,7,13.340510096428751,6.682486062060422,1.6706215155151054,0.6201857703617623,0.3720599236451027,0.24498400000538822,89.14777278016146,35.85581044507734
Random,random,highly_hetero,10,10,0.1,0.2,7,41.84836105038993,2.130257208228966,0.5325643020572415,0.7868789190499734,1.1671291355829698,0.056472999972356774,89.14777278016146,35.85581044507734
HEFT,random,homogeneous,10,11,0.1,0.2,8,24.415917838328816,3.937856992991829,0.9844642482479572,0.17046201109111617,0.7394873563605541,0.29384200001913996,96.14639279997706,33.01735672465544
CPOP,random,homogeneous,10,11,0.1,0.2,8,28.42560556821624,3.3823867909953003,0.8455966977488251,0.4977341081323615,0.8609291714436259,0.4066719999968882,96.14639279997706,33.01735672465544
HEFT-LC,random,homogeneous,10,11,0.1,0.2,8,24.475931154671358,3.9282016358191556,0.9820504089547889,0.12325624470408209,0.7413049857014797,0.2443390000053114,96.14639279997706,33.01735672465544
Random,random,homogeneous,10,11,0.1,0.2,8,37.972268304644466,2.5320160499397186,0.6330040124849297,0.5488168785990276,1.1500699047870475,0.05100800001400785,96.14639279997706,33.01735672465544
HEFT,random,cpu_gpu,10,11,0.1,0.2,8,10.906230942533165,8.815730503653297,2.2039326259133243,1.0004056728502873,0.330318112182161,0.22772299996631773,96.14639279997706,33.01735672465544
CPOP,random,cpu_gpu,10,11,0.1,0.2,8,14.443395726501876,6.656772037586709,1.6641930093966772,0.8675872582778663,0.43744857733315723,0.549739000007321,96.14639279997706,33.01735672465544
HEFT-LC,random,cpu_gpu,10,11,0.1,0.2,8,11.785069949680514,8.158321775814622,2.0395804439536556,0.6081956430571822,0.356935597478647,0.24984099997027442,96.14639279997706,33.01735672465544
Random,random,cpu_gpu,10,11,0.1,0.2,8,55.04554346875622,1.7466698799068017,0.4366674699767004,1.1556768050510315,1.6671699048413349,0.05688499999223495,96.14639279997706,33.01735672465544
HEFT,random,edge_cloud,10,11,0.1,0.2,8,21.81246188506633,4.407865251826649,1.1019663129566621,1.0004056728502873,0.660636224364322,0.2863689999799135,96.14639279997706,33.01735672465544
CPOP,random,edge_cloud,10,11,0.1,0.2,8,33.277516518342956,2.889229812176039,0.7223074530440098,0.6423526699345353,1.0078794858067255,0.5266860000006091,96.14639279997706,33.01735672465544
HEFT-LC,random,edge_cloud,10,11,0.1,0.2,8,21.81246188506633,4.407865251826649,1.1019663129566621,1.0004056728502873,0.660636224364322,0.2441970000290894,96.14639279997706,33.01735672465544
Random,random,edge_cloud,10,11,0.1,0.2,8,76.04682647614824,1.2643051295524208,0.3160762823881052,0.6300101700951256,2.3032378730475687,0.05615699996042167,96.14639279997706,33.01735672465544
HEFT,random,highly_hetero,10,11,0.1,0.2,8,21.04679974292567,4.568219110475176,1.142054777618794,0.39495983670086565,0.6374465381478931,0.23718800002825446,96.14639279997706,33.01735672465544
CPOP,random,highly_hetero,10,11,0.1,0.2,8,18.025951313793737,5.333776349789892,1.333444087447473,0.17524937842207094,0.5459537983043024,0.4319199999827106,96.14639279997706,33.01735672465544
